Phoneme	SegmentClass	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
o̞i̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	-,+	-	-,+	+,-	+	-	-	+	-	-	-	0	0	-	-	0
t̠ʃˤ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-,+	-	-	-	-	-	-	-	-	-	-
d̺̥	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
t̺ʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
ɡ̊ʷ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
ɑ̝̹	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	0	-	+	0	-	-	+	-	-	-	0	0	-	-	0
ä̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0
ä̠ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0
iɛ̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	+,-	-	+	-	+,-	-	-	+	-	-	-	0	0	-	-	0
œ̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	-	+	0	+	-	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
